nic	Geological Survey Department, Nicosia, Cyprus
nied	Nat. Res. Inst. for Earth Sci. and Disaster Prevention, Tsukuba, Japan
nipr	National Institute of Polar Research, Tokyo, Japan
nm	New Madrid Seismic Network
nn	Nevada Seismological Laboratory
nnc	Nat. Nuclear Center, Inst. of Geophysical Research, Almaty, Kazakhstan
nou	Institut de Recherche pour le Developpement, Noumea, New Caledonia
nsau	National Space Agency of Ukraine, Kiev, Ukraine
nssc	National Syrian Seismological Center, Damascus
nssp	National Survey of Seismic Protection, Yerevan, Armenia
obm	Mongolian Academy of Sciences, Ulaanbaatar
obn	GSRAS, Russian National Seismological Center, Obninsk, Russia
ogso	OhioSeis Network, Ohio Geological Survey, Columbus
ok	Oklahoma Geological Survey Statewide Network, Norman, USA (aka TUL, OGS)
oman	Department of Earth Sciences, Sultan Qaboos University, Al-Khod, Oman
ompt	Observatoire Midi-Pyrenees, Toulouse, France
ott	Geological Survey of Canada, Ottawa, Canada
oul	Sodankylan Geofysiikan Observatorio, Oulun Yliopisto, Oulu, Finland
ovo	Osservatorio Vesuviano, Naples, Italy
pal	Lamont-Doherty Earth Observatory, Palisades, New York. USA
par	Institut de Physique du Globe, Univ. P et M Curie, Paris, France
pda	Instituto de Meteorologia, Obs. Afonso Chaves, Ponta Delgada, Azores
pdg	Seizmoloski zavod Crne Gore, Podgorica, Montenegro
pepp	Princeton Earth Physics Project, Princeton, New Jersey, USA
pgc	Geological Survey of Canada, Pacific Geoscience Centre, Sidney, BC
pgec	Pacific Gas and Electric, California, USA
pins	Pakistan Inst. of Nuclear Science and Technology, Rawalpindi, Pakistan
pivs	Philippine Inst. of Volcanology & Seismology, Quezon City, Philippines
plv	Inst. of Geophysics, Vietnamese Acad. of Science and Technology, Hanoi
pmg	Geological Survey, Port Moresby, Papua New Guinea
pmr	National Tsunami Warning Center, Palmer, Alaska, USA
pnnl	Pacific Northwest National Laboratory, Richland, Washington, USA
polr	POLARIS Project, Ottawa, Canada
ppt	Laboratoire de Geophysique, Papeete, French Polynesia
pr	Puerto Rico Seismic Network
pre	Council for Geoscience, Pretoria, South Africa
pro	Osservatorio Valerio, Pesaro, Italy
prt	Osservatorio San Domenico, Prato, Italy
pt	Pacific Tsunami Warning Center (aka PTWC)
ptn	State University of New York, Potsdam, New York, USA
pto	Porto (Serro do Pilar), Portugal
qcp	Manila Observatory, Ateneo de Manila Univ., Manila, Philippines
qdm	Queensland Department of Mines, Brisbane, Australia
qmb	University of Leeds, Yorkshire, UK
que	Pakistan Meteorological Department, Quetta, Pakistan
qui	Escuela Politecnica Nacional, Quito, Ecuador
rab	Geological Survey, Vulcano Observatory, Rabaul, Papua New Guinea
rdj	Observatorio Nacional, Rio de Janeiro, Brazil
ren	University of Nevada, Reno, USA
rex	Brigham Young University-Idaho, Rexburg, Idaho, USA
rey	Veourstofa Islands, Reykjavik, Iceland
ript	Research Inst. of Pulse Technique, Ministry for Atomic Energy, Russia
rlp	Landeserdbebendienst Rheinland-Pfalz, Mainz, Germany
rmod	Russian Ministry of Defense, Russia
rom	Istituto Nazionale di Geofisica e Vulcanologia, Rome, Italy
rsnc	Red Sismica Nacional de Colombia, INGEOMINAS, Bogota, Colombia
rspr	Red Sismica de Puerto Rico, Universidad de Puerto Rico, Mayaguez
ruvs	Rede Universitaria de Vigilancia Sismovulcanica, Sao Miguel, Azores
ryd	King Saud University, Riyadh, Saudi Arabia
sakl	Sakhalin Complex Research Institute, Novoalexandrovsk -- now SKHL net
sand	Sandia Laboratories, Albuquerque, New Mexico, USA
sapn	Emergency Management Office, Saipan, Northern Mariana Islands
sbs	Institut National de la Meteorologie, Tunis, Tunisia
scp	Pennsylvania State University, State College, USA
sdd	Universidad Autonoma de Santo Domingo, Dominican Republic
se	Center for Earthquake Research and Information
sea	Geophysics Program, University of Washington, Seattle, USA
seo	Korean Meteorological Administration, Seoul, South Korea
sfs	Real Instituto y Observatorio de la Armada, San Fernando, Spain
shv	Inst. of Seismology and Volcanology, Kyushu Univ., Shimabara, Japan
sja	Instituto Nacional de Prevencion Sismica, San Juan, Argentina
skhl	GSRAS, Sakhalin Regional Seismological Ctr., Yuzhno-Sakhalinsk, Russia
sko	Seismological Observatory, Skopje University, Macedonia
slc	University of Utah, Salt Lake City, USA
slci	University of Utah Research Institute, Salt Lake City, USA
slm	St. Louis University, St. Louis, Missouri, USA
snet	Servicio Nac. de Estudios Territoriales, San Salvador, El Salvador
snm	New Mexico Institute of Mining and Technology, Socorro, USA
snsn	Saudi NSN, King Abdulaziz City for Sci & Tech, Riyadh, Saudi Arabia
sof	Section of Seismology, Bulgarian Academy of Sciences, Sofia, Bulgaria
sors	Republic Hydrometeorological Inst., Banja Luka, Bosnia-Herzegovina
spec	Special NEIS solution
spgm	Service de Physique du Globe, Rabat Agdal, Morocco
srpd	Savannah River Laboratory, Aiken, South Carolina
ssnc	Centro Nacional de Investigaciones Sismologicas, Santiago de Cuba, Cuba
sso	Osservatorio Geofisico Sperimentale, Macerata, Italy
str	Ecole et Observatoire des Sciences de la Terre, Strasbourg, France
stu	Institut fuer Geophysik der Universitaet Stuttgart, Stuttgart, Germany
sva	Department of Mineral Resources, Suva, Fiji
svsa	Sistema de Vigilancia Sismologica dos Acores, Ponta Delgada, Azores
tajk	Tajikistan Academy of Sciences, Dushanbe, Tajikistan
tan	Institut et Observatoire Geophysique d'Antananarivo, Madagascar
tap	Central Weather Bureau, Taipei, Taiwan
tato	Institute of Earth Sciences, Academia Sinica, Taipei, Taiwan
tau	University of Tasmania, Hobart, Australia
tbu	Environmental Physics Institute, Tibet University, Lhasa, China
teh	Institute of Geophysics, University of Tehran, Iran
the	Geophysical Laboratory, University of Thessaloniki, Greece
thr	Intl. Inst. of Earthquake Engineering and Seismology, Tehran, Iran
tif	Institute of Geophysics, Academy of Sciences of Georgia, Tbilisi, Georgia
tir	Seismological Center, Academy of Sciences of Albania, Tirana
toh	AOB, Graduate School of Science, Tohoku University, Sendai, Japan
tol	Observatorio Geofisico de Toledo, Spain (MDD network)
tri	Ist. Nazle. di Oceanografia e di Geof. Sperimentale, Trieste, Italy
trkm	Institute of Seismology, Turkmenistan Academy of Science, Ashgabat
trn	University of the West Indies, St. Augustine, Trinidad
tva	Tennessee Valley Authority, Knoxville, Tennessee
tx	Texas Seismological Network (TexNet) (aka TEXNET, BEG)
tzn	University of Dar es Salaam, Tanzania
uav	Laboratorio de Geofisica, Universidad de los Andes, Merida, Venezuela
ubc	University of British Columbia, Vancouver, B.C., Canada
ubic	Univ. de Barcelona i Institut d'Estudis Catalans, Barcelona, Spain
ucc	Observatoire Royal de Belgique, Uccle, Brussels, Belgium
ucr	Seccion de Sismologia, Univ. de Costa Rica, San Jose, Costa Rica
udec	Universidad de Concepcion, Concepcion, Chile
udo	Centro de Sismologia, Universidad de Oriente, Cumana, Venezuela
unah	Universidad Nacional Autonoma de Honduras, Tegucigalpa, Honduras
unm	Instituto de Geofisica, UNAM, Mexico City, DF, Mexico
upa	Instituto de Geociencias, Universidad de Panama, Panama
upp	Department of Earth Sciences, Uppsala University, Uppsala, Sweden
upsl	University of Patras Seismological Laboratory, Patras, Greece
urs	Kochi University, Kochi, Japan
us	USGS National Earthquake Information Center, PDE (aka GS, NEIC, ADMIN, OFFICIAL)
usaf	US Air Force Technical Applications Center, Melbourne, Florida, USA
usav	USGS Alaska Volcano Observatory, Anchorage, USA
usbr	US Bureau of Reclamation, Denver, Colorado, USA
usc	University of Southern California, Los Angeles, USA
uscv	USGS Cascades Volcano Observatory, Vancouver WA, USA
usgs	US Geological Survey--other than ABQ, AGS, MNLO, NEIC, HVO and USAVO
utsu	Utsunomiya University, Japan
uu	University of Utah Seismograph Stations
uvc	Universidad del Valle, Cali, Colombia
uw	Pacific Northwest Seismic Network (aka PNSN)
uzbk	Institute of Seismology, Uzbekistan Academy of Sciences, Tashkent
vao	Inst. de Astron., Geof. e Ciencias Atmos., Univ. de Sao Paulo, Brazil
war	Instytutu Geofizyki, Polskiej Akademii Nauk, Warsaw, Poland
wel	Inst. of Geological and Nuclear Sciences, Lower Hutt, New Zealand
wes	Weston Observatory, Boston College, Weston, Massachusetts, USA
wien	Inst. fuer Meteorologie und Geophysik, Univ. Wien, Vienna, Austria
wihg	Wadia Institute of Himalayan Geology, Dehra Dun, India
wwc	Woodward-Clyde Consultants, California
yars	GSRAS Siberian Branch, Yakutiya Reg. Seis. Center, Yakutsk, Russia
zag	Geophysical Institute, University of Zagreb, Croatia
zamg	ZentralAnstalt fuer Meteorologie und Geodynamik, Vienna, Austria
zon	Universidad Nacional de San Juan, San Juan, Argentina
zur	Schweizerischer Erdbebendienst, Zurich, Switzerland
